web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,name,price,buylink,buylink-href,image-src,info-label,info
"1616031784-196509","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja-V 16 GB         (0)","https://pcpartpicker.com/product/yK38TW/panram-memory-pud42133c138g2njk","Panram Ninja-V 16 GB (2 x 8 GB) DDR4-2133 CL13 Memory","","","","/static/forever/img/no-image.png","","2 x 8GB"
"1616030920-189128","https://pcpartpicker.com/products/memory/","","","G.Skill Trident Z 32 GB         (0)","https://pcpartpicker.com/product/Qr3mP6/gskill-trident-z-32-gb-2-x-16-gb-ddr4-3200-cl16-memory-f4-3200c16d-32gtzsk","G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/b8ac83764ade8b8b2640dc5cbaf6db0d.256p.jpg","","Yes"
"1616031509-194326","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","G.Skill Trident Z 32 GB         (0)","https://pcpartpicker.com/product/B6rcCJ/gskill-memory-f43333c16d32gtz","G.Skill Trident Z 32 GB (2 x 16 GB) DDR4-3333 CL16 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41yV24xlUGL.jpg","","2 x 16GB"
"1616031080-191145","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 16 GB         (315)","https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16","Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","","","","","","1.35 V"
"1616031405-193395","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","G.Skill Flare X 64 GB         (0)","https://pcpartpicker.com/product/Qr8H99/gskill-flare-x-64gb-4-x-16gb-ddr4-2400-memory-f4-2400c16q-64gfxr","G.Skill Flare X 64 GB (4 x 16 GB) DDR4-2400 CL16 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/90d5d27eadad6e684b1d31d0ae1b3e48.256p.jpg","","1.2 V"
"1616031569-194657","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Mushkin Essentials 8 GB         (0)","https://pcpartpicker.com/product/hKp323/mushkin-memory-mes3u1609t4gx2","Mushkin Essentials 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory","","","","/static/forever/img/no-image.png","Manufacturer",""
"1616030957-189576","https://pcpartpicker.com/products/memory/","","","G.Skill Trident Z Neo 64 GB         (13)","https://pcpartpicker.com/product/hFdrxr/gskill-trident-z-neo-64-gb-4-x-16-gb-ddr4-3600-cl16-memory-f4-3600c16q-64gtznc","G.Skill Trident Z Neo 64 GB (4 x 16 GB) DDR4-3600 CL16 Memory","","","","","Color",""
"1616031367-193022","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team Delta 8 GB         (0)","https://pcpartpicker.com/product/LqGj4D/team-delta-8gb-2-x-4gb-ddr4-2400-memory-tdtrd48g2400hc15adc01","Team Delta 8 GB (2 x 4 GB) DDR4-2400 CL15 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/00a8fe24b590951bbff98e1caf113cd8.256p.jpg","","15-15-15-35"
"1616031116-191415","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Apacer AS 16 GB         (0)","https://pcpartpicker.com/product/Phytt6/apacer-as-16-gb-1-x-16-gb-ddr4-2400-cl17-memory-as16ggb24ceybgh","Apacer AS 16 GB (1 x 16 GB) DDR4-2400 CL17 Memory","","","","/static/forever/img/no-image.png","Form Factor",""
"1616031061-190895","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 16 GB         (68)","https://pcpartpicker.com/product/VNJtt6/corsair-16-gb-2-x-8-gb-ddr4-3600-memory-cmk16gx4m2d3600c18","Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3600 CL18 Memory","","","","","","1.35 V"
"1616031811-196709","https://pcpartpicker.com/products/memory/","72","https://pcpartpicker.com/products/memory/#page=72","Patriot Signature Line 8 GB         (1)","https://pcpartpicker.com/product/77Trxr/patriot-memory-psd48g21332h","Patriot Signature Line 8 GB (1 x 8 GB) DDR4-2133 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41q%2B5TkKtpL.jpg","","1 x 8GB"
"1616031533-194520","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team Dark Pro 8 GB         (0)","https://pcpartpicker.com/product/vY98TW/team-memory-tdprd48g3000hc15adc0","Team Dark Pro 8 GB (2 x 4 GB) DDR4-3000 CL15 Memory","","","","/static/forever/img/no-image.png","Modules",""
"1616031726-196003","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja Series 16 GB         (0)","https://pcpartpicker.com/product/QLPzK8/panram-memory-pud3l1866c108g2njr","Panram Ninja Series 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory","","","","/static/forever/img/no-image.png","Voltage",""
"1616031110-191354","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Apacer AS 4 GB         (0)","https://pcpartpicker.com/product/sP3gXL/apacer-as-4-gb-1-x-4-gb-ddr4-2400-cl17-memory-as04ggb24cetbgh","Apacer AS 4 GB (1 x 4 GB) DDR4-2400 CL17 Memory","","","","https://m.media-amazon.com/images/I/41rLHmMdrhL.jpg","Part #",""
"1616030885-188659","https://pcpartpicker.com/products/memory/","","","Kingston HyperX Fury 8 GB         (0)","https://pcpartpicker.com/product/LfDkcf/kingston-hyperx-fury-8-gb-1-x-8-gb-ddr4-2400-memory-hx424c15fb38","Kingston HyperX Fury 8 GB (1 x 8 GB) DDR4-2400 CL15 Memory","$60.43+","","","","",""
"1616031618-195062","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Kingston ValueRAM 8 GB         (0)","https://pcpartpicker.com/product/YXyxFT/kingston-memory-kvr21r15d88","Kingston ValueRAM 8 GB (1 x 8 GB) Registered DDR4-2133 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41n7dn%2BN77L.jpg","First Word Latency",""
"1616031376-193105","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team Night Hawk RGB 16 GB         (0)","https://pcpartpicker.com/product/wfwqqs/team-night-hawk-rgb-16gb-2-x-8gb-ddr4-2666-memory-tf2d416g2666hc15bdc01","Team Night Hawk RGB 16 GB (2 x 8 GB) DDR4-2666 CL15 Memory","","","","/static/forever/img/no-image.png","","2 x 8GB"
"1616031070-191005","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance RGB Pro 16 GB         (122)","https://pcpartpicker.com/product/vfDJ7P/corsair-vengeance-rgb-pro-16gb-2-x-8gb-ddr4-3200-memory-cmw16gx4m2c3200c16w","Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","","","","","","288-pin DIMM"
"1616030897-188825","https://pcpartpicker.com/products/memory/","","","Crucial CT8G4DFS824A 8 GB         (2)","https://pcpartpicker.com/product/pyRzK8/crucial-8gb-1-x-8gb-ddr4-2133-memory-ct8g4dfs824a","Crucial 8 GB (1 x 8 GB) DDR4-2400 CL17 Memory","","","","","","1 x 8GB"
"1616030982-189900","https://pcpartpicker.com/products/memory/","","","Corsair Dominator Platinum 64 GB         (0)","https://pcpartpicker.com/product/CgtWGX/corsair-memory-cmd64gx4m4a2400c14","Corsair Dominator Platinum 64 GB (4 x 16 GB) DDR4-2400 CL15 Memory","","","","","","CMD64GX4M4A2400C14"
"1616031315-192604","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","ADATA XPG GAMMIX D10 4 GB         (0)","https://pcpartpicker.com/product/tFCD4D/adata-xpg-gammix-d10-4gb-1-x-4gb-ddr4-3000-memory-ax4u3000w4g16-bbg","ADATA XPG GAMMIX D10 4 GB (1 x 4 GB) DDR4-3000 CL16 Memory","","","","/static/forever/img/no-image.png","","1.35 V"
"1616030932-189264","https://pcpartpicker.com/products/memory/","","","OLOy MD4U1636181CHKDA 32 GB         (3)","https://pcpartpicker.com/product/KV4BD3/oloy-32-gb-2-x-16-gb-ddr4-3600-memory-md4u1636181chkda","OLOy 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/ae076b653790230e95e014df9aadbdff.256p.jpg","","18"
"1616030950-189497","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance RGB Pro 32 GB         (7)","https://pcpartpicker.com/product/PfrYcf/corsair-vengeance-rgb-pro-32-gb-4-x-8-gb-ddr4-3600-memory-cmw32gx4m4d3600c18","Corsair Vengeance RGB Pro 32 GB (4 x 8 GB) DDR4-3600 CL18 Memory","","","","","ECC / Registered",""
"1616031100-191308","https://pcpartpicker.com/products/memory/","78","https://pcpartpicker.com/products/memory/#page=78","Apacer AS 8 GB         (0)","https://pcpartpicker.com/product/DfH7YJ/apacer-as-8-gb-1-x-8-gb-ddr4-2133-cl15-memory-as08ggb13cdybgh","Apacer AS 8 GB (1 x 8 GB) DDR4-2133 CL15 Memory","","","","https://m.media-amazon.com/images/I/41Mww9SFYCL.jpg","","14.065 ns"
"1616031789-196555","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja Series 8 GB         (0)","https://pcpartpicker.com/product/FsX2FT/panram-memory-pud3l1600c98gnjr","Panram Ninja Series 8 GB (1 x 8 GB) DDR3-1600 CL9 Memory","","","","/static/forever/img/no-image.png","","Yes"
"1616031394-193275","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Team T-Force XTREEM 8 GB         (0)","https://pcpartpicker.com/product/NTL7YJ/team-t-force-xtreem-8gb-2-x-4gb-ddr4-3466-memory-txgd48g3466hc17adc01","Team T-Force XTREEM 8 GB (2 x 4 GB) DDR4-3466 CL17 Memory","","","","/static/forever/img/no-image.png","Timing",""
"1616030859-188338","https://pcpartpicker.com/products/memory/","","","G.Skill Ripjaws Series 8 GB         (110)","https://pcpartpicker.com/product/36zv6h/gskill-memory-f312800cl9d8gbrl","G.Skill Ripjaws Series 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory","$51.44+","","","","",""
